code,province,city,latitude,longitude,confirmed,elementary_school_count,elderly_population_ratio,elderly_alone_ratio,nursing_home_count,academy_ratio
10000,Seoul,Seoul,37.566953,126.977977,139,607,15.38,5.8,22739,1.44
10010,Seoul,Gangnam-gu,37.518421,127.047222,139,33,13.17,4.3,3088,4.18
10020,Seoul,Gangdong-gu,37.530492,127.123837,139,27,14.55,5.4,1023,1.54
10030,Seoul,Gangbuk-gu,37.639938,127.025508,139,14,19.49,8.5,628,0.67
10040,Seoul,Gangseo-gu,37.551166,126.849506,139,36,14.39,5.7,1080,1.17
10050,Seoul,Gwanak-gu,37.47829,126.951502,139,22,15.12,4.9,909,0.89
10060,Seoul,Gwangjin-gu,37.538712,127.082366,139,22,13.75,4.8,723,1.16
10070,Seoul,Guro-gu,37.495632,126.88765,139,26,16.21,5.7,741,1.0
10080,Seoul,Geumcheon-gu,37.456852,126.895229,139,18,16.15,6.7,475,0.96
10090,Seoul,Nowon-gu,37.654259,127.056294,139,42,15.4,7.4,952,1.39
10100,Seoul,Dobong-gu,37.668952,127.047082,139,23,17.89,7.2,485,0.95
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,139,21,17.26,6.7,832,1.06
10120,Seoul,Dongjak-gu,37.510571,126.963604,139,21,15.85,5.2,762,1.17
10130,Seoul,Mapo-gu,37.566283,126.901644,139,22,14.05,4.9,929,1.83
10140,Seoul,Seodaemun-gu,37.579428,126.936771,139,19,16.77,6.2,587,1.12
10150,Seoul,Seocho-gu,37.483804,127.032693,139,24,13.39,3.8,1465,2.6
10160,Seoul,Seongdong-gu,37.563277,127.036647,139,21,14.76,5.3,593,0.97
10170,Seoul,Seongbuk-gu,37.589562,127.0167,139,29,16.15,6.0,729,1.02
10180,Seoul,Songpa-gu,37.51462,127.106141,139,40,13.1,4.1,1527,1.65
10190,Seoul,Yangcheon-gu,37.517189,126.866618,139,30,13.55,5.5,816,2.26
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89619,139,23,15.6,5.8,1001,1.21
10210,Seoul,Yongsan-gu,37.532768,126.990021,139,15,16.87,6.5,435,0.68
10220,Seoul,Eunpyeong-gu,37.603481,126.929173,139,31,17.0,6.5,874,1.09
10230,Seoul,Jongno-gu,37.572999,126.979189,139,13,18.27,6.8,668,1.71
10240,Seoul,Jung-gu,37.563988,126.99753,139,12,18.42,7.4,728,0.94
10250,Seoul,Jungnang-gu,37.606832,127.092656,139,23,16.65,6.9,689,0.7
10000,Seoul,Seoul,37.566953,126.977977,119,607,15.38,5.8,22739,1.44
10010,Seoul,Gangnam-gu,37.518421,127.047222,119,33,13.17,4.3,3088,4.18
10020,Seoul,Gangdong-gu,37.530492,127.123837,119,27,14.55,5.4,1023,1.54
10030,Seoul,Gangbuk-gu,37.639938,127.025508,119,14,19.49,8.5,628,0.67
10040,Seoul,Gangseo-gu,37.551166,126.849506,119,36,14.39,5.7,1080,1.17
10050,Seoul,Gwanak-gu,37.47829,126.951502,119,22,15.12,4.9,909,0.89
10060,Seoul,Gwangjin-gu,37.538712,127.082366,119,22,13.75,4.8,723,1.16
10070,Seoul,Guro-gu,37.495632,126.88765,119,26,16.21,5.7,741,1.0
10080,Seoul,Geumcheon-gu,37.456852,126.895229,119,18,16.15,6.7,475,0.96
10090,Seoul,Nowon-gu,37.654259,127.056294,119,42,15.4,7.4,952,1.39
10100,Seoul,Dobong-gu,37.668952,127.047082,119,23,17.89,7.2,485,0.95
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,119,21,17.26,6.7,832,1.06
10120,Seoul,Dongjak-gu,37.510571,126.963604,119,21,15.85,5.2,762,1.17
10130,Seoul,Mapo-gu,37.566283,126.901644,119,22,14.05,4.9,929,1.83
10140,Seoul,Seodaemun-gu,37.579428,126.936771,119,19,16.77,6.2,587,1.12
10150,Seoul,Seocho-gu,37.483804,127.032693,119,24,13.39,3.8,1465,2.6
10160,Seoul,Seongdong-gu,37.563277,127.036647,119,21,14.76,5.3,593,0.97
10170,Seoul,Seongbuk-gu,37.589562,127.0167,119,29,16.15,6.0,729,1.02
10180,Seoul,Songpa-gu,37.51462,127.106141,119,40,13.1,4.1,1527,1.65
