 case_id,province,city_x,group,infection_case,confirmed,latitude_x,longitude_x,code,city_y,latitude_y,longitude_y,elementary_school_count,kindergarten_count,university_count,academy_ratio,elderly_population_ratio,elderly_alone_ratio,nursing_home_count
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10000,Seoul,37.566953,126.977977,607,830,48,1.44,15.38,5.8,22739
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10010,Gangnam-gu,37.518421,127.047222,33,38,0,4.18,13.17,4.3,3088
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10020,Gangdong-gu,37.530492,127.123837,27,32,0,1.54,14.55,5.4,1023
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10030,Gangbuk-gu,37.639938,127.025508,14,21,0,0.67,19.49,8.5,628
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10040,Gangseo-gu,37.551166,126.849506,36,56,1,1.17,14.39,5.7,1080
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10050,Gwanak-gu,37.47829,126.951502,22,33,1,0.89,15.12,4.9,909
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10060,Gwangjin-gu,37.538712,127.082366,22,33,3,1.16,13.75,4.8,723
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10070,Guro-gu,37.495632,126.88765,26,34,3,1.0,16.21,5.7,741
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10080,Geumcheon-gu,37.456852,126.895229,18,19,0,0.96,16.15,6.7,475
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10090,Nowon-gu,37.654259,127.056294,42,66,6,1.39,15.4,7.4,952
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10100,Dobong-gu,37.668952,127.047082,23,26,1,0.95,17.89,7.2,485
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10110,Dongdaemun-gu,37.574552,127.039721,21,31,4,1.06,17.26,6.7,832
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10120,Dongjak-gu,37.510571,126.963604,21,34,3,1.17,15.85,5.2,762
