 case_id,province,city,group,infection_case,confirmed,latitude_x,longitude_x,code,latitude_y,longitude_y,elementary_school_count,kindergarten_count,university_count,academy_ratio,elderly_population_ratio,elderly_alone_ratio,nursing_home_count
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,10210,37.532768,126.990021,15,13,1,0.68,16.87,6.5,435
1000002,Seoul,Gwanak-gu,True,Richway,119,37.48208,126.901384,10050,37.47829,126.951502,22,33,1,0.89,15.12,4.9,909
1000010,Seoul,Gwanak-gu,True,Wangsung Church,30,37.481735,126.930121,10050,37.47829,126.951502,22,33,1,0.89,15.12,4.9,909
1000003,Seoul,Guro-gu,True,Guro-gu Call Center,95,37.508163,126.884387,10070,37.495632,126.88765,26,34,3,1.0,16.21,5.7,741
1000006,Seoul,Guro-gu,True,Manmin Central Church,41,37.481059,126.894343,10070,37.495632,126.88765,26,34,3,1.0,16.21,5.7,741
1000035,Seoul,Guro-gu,True,Daezayeon Korea,3,37.486837,126.893163,10070,37.495632,126.88765,26,34,3,1.0,16.21,5.7,741
1000004,Seoul,Yangcheon-gu,True,Yangcheon Table Tennis Club,43,37.546061,126.874209,10190,37.517189,126.866618,30,43,0,2.26,13.55,5.5,816
1000026,Seoul,Yangcheon-gu,True,Biblical Language study meeting,3,37.524623,126.843118,10190,37.517189,126.866618,30,43,0,2.26,13.55,5.5,816
1000005,Seoul,Dobong-gu,True,Day Care Center,43,37.679422,127.044374,10100,37.668952,127.047082,23,26,1,0.95,17.89,7.2,485
1000008,Seoul,Dongdaemun-gu,True,Dongan Church,17,37.592888,127.056766,10110,37.574552,127.039721,21,31,4,1.06,17.26,6.7,832
1000011,Seoul,Eunpyeong-gu,True,Eunpyeong St. Mary's Hospital,14,37.63369,126.9165,10220,37.603481,126.929173,31,44,1,1.09,17.0,6.5,874
1000012,Seoul,Seongdong-gu,True,Seongdong-gu APT,13,37.55713,127.0403,10160,37.563277,127.036647,21,30,2,0.97,14.76,5.3,593
1000013,Seoul,Jongno-gu,True,Jongno Community Center,10,37.57681,127.006,10230,37.572999,126.979189,13,17,3,1.71,18.27,6.8,668
1000017,Seoul,Jongno-gu,True,Korea Campus Crusade of Christ,7,37.594782,126.968022,10230,37.572999,126.979189,13,17,3,1.71,18.27,6.8,668
